what,kind,bundleId,bundleVersion,description,time
started,bundle,org.python.pydev.customizations,2.7.1.2012100913,"org.python.pydev.customizations",1354537927133
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354537930284
started,bundle,com.python.pydev,2.7.1.2012100913,"com.python.pydev",1354537937008
started,bundle,com.python.pydev.refactoring,2.7.1.2012100913,"com.python.pydev.refactoring",1354537937070
started,bundle,org.python.pydev.debug,2.7.1.2012100913,"org.python.pydev.debug",1354537937070
started,bundle,org.python.pydev.django,2.7.1.2012100913,"org.python.pydev.django",1354537937070
started,bundle,com.aptana.interactive_console,2.7.1.2012100913,"com.aptana.interactive_console",1354537937070
started,bundle,org.python.pydev.refactoring,2.7.1.2012100913,"org.python.pydev.refactoring",1354537937258
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1354537937273
started,bundle,com.python.pydev.codecompletion,2.7.1.2012100913,"com.python.pydev.codecompletion",1354537937648
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1354537937882
opened,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1354537937960
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1354537938240
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354537938287
started,bundle,org.python.pydev.jython,2.7.1.2012100913,"org.python.pydev.jython",1354537938724
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1354537949753
activated,view,org.python.pydev,2.7.1.2012100913,"org.python.pydev.navigator.view",1354537961094
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201106081058,"org.eclipse.cdt.debug.core",1354537968271
started,bundle,org.eclipse.cdt.debug.ui,7.1.0.201106081058,"org.eclipse.cdt.debug.ui",1354537968271
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354537968629
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354537971344
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201106081058,"org.eclipse.cdt.debug.mi.ui",1354537972233
started,bundle,org.eclipse.cdt.dsf,2.2.0.201106081058,"org.eclipse.cdt.dsf",1354537972280
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.0.201106081058,"org.eclipse.cdt.dsf.gdb",1354537972280
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.0.201106081058,"org.eclipse.cdt.dsf.gdb.ui",1354537972280
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.0.201106081058,"org.eclipse.cdt.debug.mi.core",1354537972373
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1354538079267
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1354538080687
activated,view,org.python.pydev,2.7.1.2012100913,"org.python.pydev.navigator.view",1354538081998
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354538169280
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354538970351
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354538972706
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354539163004
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354539164039
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354539294412
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354539294599
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354539295504
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354539454873
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354539459135
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354539688719
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354539691090
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354539695973
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1354539695989
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354539697814
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354539705286
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1354539705302
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354539710216
closed,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1354539711542
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354539711589
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1354539711604
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354539714163
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354539715692
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354539725800
opened,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1354539741900
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1354539741931
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354539741962
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354539745082
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354539745815
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354539751228
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354539751696
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354539792159
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354539792253
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354539792409
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354539823936
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354539899581
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354539901827
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354539902498
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354539904713
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354539945102
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354539947754
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354540056236
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354540058919
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354540121959
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354540123940
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1354540161973
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354540167449
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354540169867
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354540171146
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354540175374
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1354540179788
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354540187199
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354540215950
activated,view,org.python.pydev,2.7.1.2012100913,"org.python.pydev.navigator.view",1354540219117
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354540221179
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354540222349
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1354540222365
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354540224299
opened,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1354540245562
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1354540245578
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354540245609
activated,view,org.python.pydev,2.7.1.2012100913,"org.python.pydev.navigator.view",1354540248152
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354540250523
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354540253034
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1354540257106
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354540340894
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354540343889
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354540346525
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354540348897
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354540353374
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354540353967
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354540377096
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354540377705
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354540416689
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354540417048
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1354540423584
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1354540424754
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1354540427687
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354540429699
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354540431852
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1354540449326
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1354540451775
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1354540454755
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354540455286
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354540456892
activated,view,org.python.pydev,2.7.1.2012100913,"org.python.pydev.navigator.view",1354540458827
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1354540462482
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1354540467162
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1354540474512
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354540489035
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354540493200
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.cleanAction",1354540493216
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1354540498130
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1354540498224
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1354540498317
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1354540499440
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1354540499503
